Reference, Value, Footprint, Datasheet
"U1","ARDUINO_MICRO_SHIELD","midiPedalboard_Perfboard:ARDUINO_MICRO_SHIELD",""
"C1","C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C2","C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J1","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J2","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J6","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J7","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J8","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J9","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J11","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J12","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J13","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J14","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jt10","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J17","MIDI_4","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J18","MIDI_2","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J19","MIDI_5","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"R2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R3","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"U2","PC900","Package_DIP:DIP-6_W7.62mm_Socket",""
"R4","280","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"C3","0.1 uf","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J15","MIDI_4","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"D1","1n914","Diode_THT:D_A-405_P2.54mm_Vertical_AnodeUp","~"
"R1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J16","MIDI_5","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J21","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"J22","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg1","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg7","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg8","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg9","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg21","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg22","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg11","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg12","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg13","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jg14","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Jr10","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"Js10","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"R5","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J10","wire","Connector_Wire:SolderWirePad_1x01_Drill0.8mm","~"
"S1","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S2","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S3","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S4","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S5","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S6","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
"S7","Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal","~"
